mode_cn,mode,sub_mode_cn,sub_mode,phase_ver,rank,team_cn,app_rate,avg_round,source_kind,duplicate_count,unordered_signature
末日幻影,as,全部,all,4.3.1,36,大黑塔 / 黑塔 / 开拓者•记忆 / 缇宝,0.27,0,prydwen_page,3,as|all|4.3.1|herta>the-herta>trailblazer-remembrance>tribbie
虚构叙事,pf,全部,all,4.3.1,36,白厄 / 花火 / 星期日 / 丹恒•腾荒,0.25,26464,prydwen_page,4,pf|all|4.3.1|dan-heng-permansor-terrae>phainon>sparkle>sunday
虚构叙事,pf,全部,all,4.3.1,36,绯英 / 开拓者•欢愉 / 爻光 / 砂金,0.25,35147,prydwen_page,2,pf|all|4.3.1|aventurine>evanescia>trailblazer-elation>yao-guang
异相仲裁,aa,全 Boss / 未拆分,all_bosses,4.3.1,36,万敌 / 昔涟 / 开拓者•记忆 / 风堇,0.22,4.67,prydwen_page,11,aa|all_bosses|4.3.1|cyrene>hyacine>mydei>trailblazer-remembrance
异相仲裁,aa,全 Boss / 未拆分,all_bosses,4.3.1,36,遐蝶 / 长夜月 / 昔涟 / 藿藿,0.22,4.62,prydwen_page,9,aa|all_bosses|4.3.1|castorice>cyrene>huohuo>march-7th-evernight
异相仲裁,aa,全 Boss / 未拆分,all_bosses,4.3.1,36,大黑塔 / 那刻夏 / 缇宝 / 藿藿,0.22,99.99,prydwen_page,10,aa|all_bosses|4.3.1|anaxa>huohuo>the-herta>tribbie
异相仲裁,aa,全 Boss / 未拆分,all_bosses,4.3.1,37,海瑟音 / 黑天鹅 / 卡芙卡 / 阮•梅,0.42,2.5,prydwen_page,6,aa|all_bosses|4.3.1|black-swan>hysilens>kafka>ruan-mei
混沌回忆,moc,全部,all,4.2.1,37,流萤 / 忘归人 / 大丽花 / 缇宝,0.3,5,prydwen_page,6,moc|all|4.2.1|firefly>the-dahlia>tingyun-fugue>tribbie
异相仲裁,aa,全 Boss / 未拆分,all_bosses,4.3.1,37,流萤 / 忘归人 / 大丽花 / 丹恒•腾荒,0.29,5.75,prydwen_page,12,aa|all_bosses|4.3.1|dan-heng-permansor-terrae>firefly>the-dahlia>tingyun-fugue
异相仲裁,aa,全 Boss / 未拆分,all_bosses,4.3.1,37,银狼LV.999 / 火花 / 花火 / 爻光,0.29,0.14,prydwen_page,10,aa|all_bosses|4.3.1|silver-wolf-lv-999>sparkle>sparxie>yao-guang
异相仲裁,aa,全 Boss / 未拆分,all_bosses,4.3.1,37,银狼LV.999 / 花火 / 爻光 / 藿藿,0.29,3.62,prydwen_page,12,aa|all_bosses|4.3.1|huohuo>silver-wolf-lv-999>sparkle>yao-guang
异相仲裁,aa,全 Boss / 未拆分,all_bosses,4.3.1,37,绯英 / 千冶•刃 / 爻光 / 藿藿,0.29,5,prydwen_page,9,aa|all_bosses|4.3.1|blade-mortenax>evanescia>huohuo>yao-guang
末日幻影,as,全部,all,4.3.1,38,不死途 / 星期日 / 缇宝 / 丹恒•腾荒,0.42,3398,prydwen_page,4,as|all|4.3.1|ashveil>dan-heng-permansor-terrae>sunday>tribbie
异相仲裁,aa,全 Boss / 未拆分,all_bosses,4.3.1,38,海瑟音 / 黑天鹅 / 卡芙卡 / 加拉赫,0.41,4,prydwen_page,13,aa|all_bosses|4.3.1|black-swan>gallagher>hysilens>kafka
混沌回忆,moc,全部,all,4.2.1,38,银狼LV.999 / 艾丝妲 / 开拓者•欢愉 / 藿藿,0.31,9.75,prydwen_page,5,moc|all|4.2.1|asta>huohuo>silver-wolf-lv-999>trailblazer-elation
混沌回忆,moc,全部,all,4.2.1,38,长夜月 / 昔涟 / 缇宝 / 风堇,0.29,8.67,prydwen_page,6,moc|all|4.2.1|cyrene>hyacine>march-7th-evernight>tribbie
混沌回忆,moc,全部,all,4.2.1,38,白厄 / 刻律德菈 / 开拓者•记忆 / 花火,0.29,10,prydwen_page,6,moc|all|4.2.1|cerydra>phainon>sparkle>trailblazer-remembrance
混沌回忆,moc,全部,all,4.2.1,38,海瑟音 / 黑天鹅 / 卡芙卡 / 缇宝,0.29,99.99,prydwen_page,5,moc|all|4.2.1|black-swan>hysilens>kafka>tribbie
混沌回忆,moc,全部,all,4.2.1,38,白厄 / 布洛妮娅 / 星期日 / 丹恒•腾荒,0.29,9,prydwen_page,5,moc|all|4.2.1|bronya>dan-heng-permansor-terrae>phainon>sunday
末日幻影,as,全部,all,4.3.1,38,火花 / 花火 / 爻光 / 丹恒•腾荒,0.26,3504,prydwen_page,5,as|all|4.3.1|dan-heng-permansor-terrae>sparkle>sparxie>yao-guang
末日幻影,as,全部,all,4.3.1,38,海瑟音 / 黑天鹅 / 卡芙卡 / 昔涟,0.25,3710,prydwen_page,3,as|all|4.3.1|black-swan>cyrene>hysilens>kafka
虚构叙事,pf,全部,all,4.3.1,38,绯英 / 开拓者•欢愉 / 缇宝 / 藿藿,0.24,30183,prydwen_page,2,pf|all|4.3.1|evanescia>huohuo>trailblazer-elation>tribbie
末日幻影,as,全部,all,4.3.1,39,不死途 / 千冶•刃 / 缇宝 / 加拉赫,0.4,3593,prydwen_page,5,as|all|4.3.1|ashveil>blade-mortenax>gallagher>tribbie
末日幻影,as,全部,all,4.3.1,39,Archer / 开拓者•记忆 / 花火 / 丹恒•腾荒,0.4,3374,prydwen_page,5,as|all|4.3.1|archer>dan-heng-permansor-terrae>sparkle>trailblazer-remembrance
末日幻影,as,全部,all,4.3.1,39,Archer / 赛飞儿 / 花火 / 丹恒•腾荒,0.4,3388,prydwen_page,5,as|all|4.3.1|archer>cipher>dan-heng-permansor-terrae>sparkle
末日幻影,as,全部,all,4.3.1,39,白厄 / 布洛妮娅 / 星期日 / 丹恒•腾荒,0.4,3147,prydwen_page,4,as|all|4.3.1|bronya>dan-heng-permansor-terrae>phainon>sunday
异相仲裁,aa,全 Boss / 未拆分,all_bosses,4.3.1,39,黄泉 / 不死途 / 千冶•刃 / 缇宝,0.39,1.5,prydwen_page,11,aa|all_bosses|4.3.1|acheron>ashveil>blade-mortenax>tribbie
虚构叙事,pf,全部,all,4.3.1,39,黄泉 / 不死途 / 千冶•刃 / 藿藿,0.35,32897,prydwen_page,3,pf|all|4.3.1|acheron>ashveil>blade-mortenax>huohuo
虚构叙事,pf,全部,all,4.3.1,39,黄泉 / 千冶•刃 / 缇宝 / 罗刹,0.35,29309,prydwen_page,3,pf|all|4.3.1|acheron>blade-mortenax>luocha>tribbie
混沌回忆,moc,全部,all,4.2.1,39,银狼LV.999 / 火花 / 花火 / 爻光,0.29,99.99,prydwen_page,5,moc|all|4.2.1|silver-wolf-lv-999>sparkle>sparxie>yao-guang
混沌回忆,moc,全部,all,4.2.1,39,不死途 / 千冶•刃 / 缇宝 / 丹恒•腾荒,0.29,5.67,prydwen_page,5,moc|all|4.2.1|ashveil>blade-mortenax>dan-heng-permansor-terrae>tribbie
异相仲裁,aa,全 Boss / 未拆分,all_bosses,4.3.1,39,绯英 / 开拓者•欢愉 / 花火 / 藿藿,0.28,5.18,prydwen_page,15,aa|all_bosses|4.3.1|evanescia>huohuo>sparkle>trailblazer-elation
虚构叙事,pf,全部,all,4.3.1,39,大黑塔 / 那刻夏 / 缇宝 / 砂金,0.24,25600,prydwen_page,2,pf|all|4.3.1|anaxa>aventurine>the-herta>tribbie
虚构叙事,pf,全部,all,4.3.1,39,银狼LV.999 / 火花 / 开拓者•欢愉 / 丹恒•腾荒,0.23,29004,prydwen_page,2,pf|all|4.3.1|dan-heng-permansor-terrae>silver-wolf-lv-999>sparxie>trailblazer-elation
末日幻影,as,全部,all,4.3.1,40,长夜月 / 开拓者•记忆 / 缇宝 / 风堇,0.24,3095,prydwen_page,3,as|all|4.3.1|hyacine>march-7th-evernight>trailblazer-remembrance>tribbie
虚构叙事,pf,全部,all,4.3.1,40,Saber / 星期日 / 缇宝 / 丹恒•腾荒,0.22,25253,prydwen_page,2,pf|all|4.3.1|dan-heng-permansor-terrae>saber>sunday>tribbie
混沌回忆,moc,全部,all,4.2.1,41,绯英 / 火花 / 爻光 / 藿藿,0.27,7,prydwen_page,6,moc|all|4.2.1|evanescia>huohuo>sparxie>yao-guang
混沌回忆,moc,全部,all,4.2.1,41,火花 / 花火 / 爻光 / 藿藿,0.27,8.29,prydwen_page,5,moc|all|4.2.1|huohuo>sparkle>sparxie>yao-guang
混沌回忆,moc,全部,all,4.2.1,41,银狼LV.999 / 开拓者•欢愉 / 爻光 / 符玄,0.27,8.5,prydwen_page,5,moc|all|4.2.1|fu-xuan>silver-wolf-lv-999>trailblazer-elation>yao-guang
末日幻影,as,全部,all,4.3.1,41,银狼LV.999 / 火花 / 开拓者•欢愉 / 爻光,0.25,3781,prydwen_page,5,as|all|4.3.1|silver-wolf-lv-999>sparxie>trailblazer-elation>yao-guang
末日幻影,as,全部,all,4.3.1,41,海瑟音 / 黑天鹅 / 卡芙卡 / 罗刹,0.23,3368,prydwen_page,3,as|all|4.3.1|black-swan>hysilens>kafka>luocha
虚构叙事,pf,全部,all,4.3.1,41,白厄 / 布洛妮娅 / 刻律德菈 / 星期日,0.21,24020,prydwen_page,4,pf|all|4.3.1|bronya>cerydra>phainon>sunday
虚构叙事,pf,全部,all,4.3.1,41,白厄 / 刻律德菈 / 知更鸟 / 星期日,0.21,26840,prydwen_page,4,pf|all|4.3.1|cerydra>phainon>robin>sunday
虚构叙事,pf,全部,all,4.3.1,41,银狼LV.999 / 开拓者•欢愉 / 爻光 / 风堇,0.21,32720,prydwen_page,2,pf|all|4.3.1|hyacine>silver-wolf-lv-999>trailblazer-elation>yao-guang
虚构叙事,pf,全部,all,4.3.1,42,黄泉 / 不死途 / 千冶•刃 / 风堇,0.33,35571,prydwen_page,3,pf|all|4.3.1|acheron>ashveil>blade-mortenax>hyacine
虚构叙事,pf,全部,all,4.3.1,42,黄泉 / 赛飞儿 / 千冶•刃 / 丹恒•腾荒,0.33,29584,prydwen_page,3,pf|all|4.3.1|acheron>blade-mortenax>cipher>dan-heng-permansor-terrae
混沌回忆,moc,全部,all,4.2.1,42,流萤 / 忘归人 / 大丽花 / 丹恒•腾荒,0.28,7.12,prydwen_page,6,moc|all|4.2.1|dan-heng-permansor-terrae>firefly>the-dahlia>tingyun-fugue
混沌回忆,moc,全部,all,4.2.1,42,白厄 / 刻律德菈 / 花火 / 丹恒•腾荒,0.28,9.33,prydwen_page,5,moc|all|4.2.1|cerydra>dan-heng-permansor-terrae>phainon>sparkle
末日幻影,as,全部,all,4.3.1,42,乱破 / 忘归人 / 大丽花 / 灵砂,0.24,3241,prydwen_page,3,as|all|4.3.1|lingsha>rappa>the-dahlia>tingyun-fugue
末日幻影,as,全部,all,4.3.1,43,不死途 / 千冶•刃 / 缇宝 / 罗刹,0.38,3510,prydwen_page,5,as|all|4.3.1|ashveil>blade-mortenax>luocha>tribbie
末日幻影,as,全部,all,4.3.1,43,白厄 / 刻律德菈 / 花火 / 丹恒•腾荒,0.38,3331,prydwen_page,4,as|all|4.3.1|cerydra>dan-heng-permansor-terrae>phainon>sparkle
混沌回忆,moc,全部,all,4.2.1,44,银狼LV.999 / 火花 / 缇宝 / 爻光,0.26,99.99,prydwen_page,5,moc|all|4.2.1|silver-wolf-lv-999>sparxie>tribbie>yao-guang
末日幻影,as,全部,all,4.3.1,45,Archer / 花火 / 星期日 / 丹恒•腾荒,0.34,3415,prydwen_page,5,as|all|4.3.1|archer>dan-heng-permansor-terrae>sparkle>sunday
混沌回忆,moc,全部,all,4.2.1,45,海瑟音 / 黑天鹅 / 卡芙卡 / 昔涟,0.27,0,prydwen_page,5,moc|all|4.2.1|black-swan>cyrene>hysilens>kafka
末日幻影,as,全部,all,4.3.1,45,灵砂 / 忘归人 / 开拓者 - 同谐 / 大丽花,0.23,3285,prydwen_page,3,as|all|4.3.1|lingsha>the-dahlia>tingyun-fugue>trailblazer-harmony
末日幻影,as,全部,all,4.3.1,45,银狼LV.999 / 绯英 / 火花 / 爻光,0.23,3787,prydwen_page,3,as|all|4.3.1|evanescia>silver-wolf-lv-999>sparxie>yao-guang
末日幻影,as,全部,all,4.3.1,45,银狼LV.999 / 开拓者•欢愉 / 爻光 / 风堇,0.23,3552,prydwen_page,3,as|all|4.3.1|hyacine>silver-wolf-lv-999>trailblazer-elation>yao-guang
末日幻影,as,全部,all,4.3.1,45,海瑟音 / 卡芙卡 / 知更鸟 / 丹恒•腾荒,0.19,3235,prydwen_page,3,as|all|4.3.1|dan-heng-permansor-terrae>hysilens>kafka>robin
混沌回忆,moc,全部,all,4.2.1,46,白厄 / 刻律德菈 / 昔涟 / 缇宝,0.26,9,prydwen_page,5,moc|all|4.2.1|cerydra>cyrene>phainon>tribbie
混沌回忆,moc,全部,all,4.2.1,46,绯英 / 开拓者•欢愉 / 星期日 / 藿藿,0.26,8.4,prydwen_page,5,moc|all|4.2.1|evanescia>huohuo>sunday>trailblazer-elation
混沌回忆,moc,全部,all,4.2.1,47,万敌 / 昔涟 / 缇宝 / 风堇,0.24,9,prydwen_page,5,moc|all|4.2.1|cyrene>hyacine>mydei>tribbie
混沌回忆,moc,全部,all,4.2.1,48,白厄 / 刻律德菈 / 昔涟 / 花火,0.25,99.99,prydwen_page,6,moc|all|4.2.1|cerydra>cyrene>phainon>sparkle
混沌回忆,moc,全部,all,4.2.1,48,白厄 / 昔涟 / 星期日 / 丹恒•腾荒,0.25,8.14,prydwen_page,5,moc|all|4.2.1|cyrene>dan-heng-permansor-terrae>phainon>sunday
混沌回忆,moc,全部,all,4.2.1,48,海瑟音 / 黑天鹅 / 卡芙卡 / 砂金,0.25,7.6,prydwen_page,5,moc|all|4.2.1|aventurine>black-swan>hysilens>kafka
混沌回忆,moc,全部,all,4.2.1,49,银狼LV.999 / 火花 / 开拓者•欢愉 / 风堇,0.23,9.5,prydwen_page,5,moc|all|4.2.1|hyacine>silver-wolf-lv-999>sparxie>trailblazer-elation
混沌回忆,moc,全部,all,4.2.1,50,银狼LV.999 / 火花 / 开拓者•欢愉 / 爻光,0.21,99.99,prydwen_page,5,moc|all|4.2.1|silver-wolf-lv-999>sparxie>trailblazer-elation>yao-guang
混沌回忆,moc,全部,all,4.2.1,51,海瑟音 / 黑天鹅 / 卡芙卡 / 阮•梅,0.24,6,prydwen_page,5,moc|all|4.2.1|black-swan>hysilens>kafka>ruan-mei
混沌回忆,moc,全部,all,4.2.1,51,海瑟音 / 黑天鹅 / 卡芙卡 / 知更鸟,0.24,3,prydwen_page,5,moc|all|4.2.1|black-swan>hysilens>kafka>robin
混沌回忆,moc,全部,all,4.2.1,51,黄泉 / 千冶•刃 / 缇宝 / 瓦尔特,0.24,3,prydwen_page,4,moc|all|4.2.1|acheron>blade-mortenax>tribbie>welt
混沌回忆,moc,全部,all,4.2.1,52,乱破 / 忘归人 / 大丽花 / 灵砂,0.2,8.75,prydwen_page,6,moc|all|4.2.1|lingsha>rappa>the-dahlia>tingyun-fugue
混沌回忆,moc,全部,all,4.2.1,54,波提欧 / 忘归人 / 阮•梅 / 大丽花,0.22,99.99,prydwen_page,5,moc|all|4.2.1|boothill>ruan-mei>the-dahlia>tingyun-fugue
混沌回忆,moc,全部,all,4.2.1,55,那刻夏 / 刻律德菈 / 星期日 / 丹恒•腾荒,0.21,9.5,prydwen_page,5,moc|all|4.2.1|anaxa>cerydra>dan-heng-permansor-terrae>sunday
混沌回忆,moc,全部,all,4.2.1,56,Archer / 知更鸟 / 花火 / 丹恒•腾荒,0.2,99.99,prydwen_page,6,moc|all|4.2.1|archer>dan-heng-permansor-terrae>robin>sparkle
混沌回忆,moc,全部,all,4.2.1,56,银狼LV.999 / 火花 / 开拓者•欢愉 / 符玄,0.18,8,prydwen_page,5,moc|all|4.2.1|fu-xuan>silver-wolf-lv-999>sparxie>trailblazer-elation
混沌回忆,moc,全部,all,4.2.1,57,瓦尔特 / 花火 / 星期日 / 丹恒•腾荒,0.16,8,prydwen_page,6,moc|all|4.2.1|dan-heng-permansor-terrae>sparkle>sunday>welt
混沌回忆,moc,全部,all,4.2.1,57,万敌 / 昔涟 / 开拓者•记忆 / 风堇,0.16,8.67,prydwen_page,4,moc|all|4.2.1|cyrene>hyacine>mydei>trailblazer-remembrance
混沌回忆,moc,全部,all,4.2.1,59,白厄 / 布洛妮娅 / 刻律德菈 / 星期日,0.17,99.99,prydwen_page,5,moc|all|4.2.1|bronya>cerydra>phainon>sunday
混沌回忆,moc,全部,all,4.2.1,59,海瑟音 / 黑天鹅 / 卡芙卡 / 千冶•刃,0.17,3,prydwen_page,4,moc|all|4.2.1|black-swan>blade-mortenax>hysilens>kafka
混沌回忆,moc,全部,all,4.2.1,61,不死途 / 开拓者•记忆 / 缇宝 / 丹恒•腾荒,0.15,7.33,prydwen_page,4,moc|all|4.2.1|ashveil>dan-heng-permansor-terrae>trailblazer-remembrance>tribbie
混沌回忆,moc,全部,all,4.2.1,61,流萤 / 忘归人 / 大丽花 / 风堇,0.15,8.3,prydwen_page,5,moc|all|4.2.1|firefly>hyacine>the-dahlia>tingyun-fugue
混沌回忆,moc,全部,all,4.2.1,61,白厄 / 刻律德菈 / 星期日 / 缇宝,0.15,99.99,prydwen_page,4,moc|all|4.2.1|cerydra>phainon>sunday>tribbie
混沌回忆,moc,全部,all,4.2.1,61,海瑟音 / 黑天鹅 / 卡芙卡 / 赛飞儿,0.15,99.99,prydwen_page,4,moc|all|4.2.1|black-swan>cipher>hysilens>kafka
混沌回忆,moc,全部,all,4.2.1,61,白厄 / 刻律德菈 / 开拓者•记忆 / 星期日,0.15,9,prydwen_page,5,moc|all|4.2.1|cerydra>phainon>sunday>trailblazer-remembrance
混沌回忆,moc,全部,all,4.2.1,61,遐蝶 / 长夜月 / 阮•梅 / 风堇,0.15,99.99,prydwen_page,5,moc|all|4.2.1|castorice>hyacine>march-7th-evernight>ruan-mei
混沌回忆,moc,全部,all,4.2.1,61,海瑟音 / 黑天鹅 / 卡芙卡 / 加拉赫,0.15,9,prydwen_page,4,moc|all|4.2.1|black-swan>gallagher>hysilens>kafka
混沌回忆,moc,全部,all,4.2.1,61,银狼LV.999 / 花火 / 爻光 / 藿藿,0.15,6,prydwen_page,4,moc|all|4.2.1|huohuo>silver-wolf-lv-999>sparkle>yao-guang
混沌回忆,moc,全部,all,4.2.1,61,不死途 / 千冶•刃 / 缇宝 / 罗刹,0.15,99.99,prydwen_page,4,moc|all|4.2.1|ashveil>blade-mortenax>luocha>tribbie
混沌回忆,moc,全部,all,4.2.1,64,银狼LV.999 / 火花 / 开拓者•欢愉 / 砂金,0.14,9,prydwen_page,4,moc|all|4.2.1|aventurine>silver-wolf-lv-999>sparxie>trailblazer-elation
混沌回忆,moc,全部,all,4.2.1,64,银狼LV.999 / 火花 / 爻光 / 罗刹,0.14,7.5,prydwen_page,4,moc|all|4.2.1|luocha>silver-wolf-lv-999>sparxie>yao-guang
