tier_snapshot_id,fetched_at,tier_updated_at,tier_updated_date,tier_mode,tier_mode_cn,character_slug,character_name_en,character_name_cn,prydwen_category,prydwen_role,role_group,role_group_cn,tier,rating,tags,marks,is_new,element,element_cn,style,style_cn,faction,rarity,icon_url,source_url,collect_date,phase_ver,phase_name,app_rate,avg_score,quality_flag
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-02-17,2.6.1,式舆防卫 2.6.1,8.74,30026,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-03-10,2.6.3,式舆防卫 2.6.3,14.71,30430,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-03-31,2.6.4,式舆防卫 2.6.4,10.5,29637,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-04-21,2.7.2,式舆防卫 2.7.2,6.36,29221,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-05-11,2.7.3,式舆防卫 2.7.3,5.82,30681,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-02,2.8.2,式舆防卫 2.8.2,10.28,26565,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-15,2.8.3,式舆防卫 2.8.3,7.07,28292,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-21,2.8.3,式舆防卫 2.8.3,7.14,28035,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-02-17,2.6.1,危局强袭 2.6.1,9.76,28472,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-03-10,2.6.2,危局强袭 2.6.2,8.48,22168,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-03-31,2.7.1,危局强袭 2.7.1,5.44,22417,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-04-21,2.7.2,危局强袭 2.7.2,7.95,24319,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-05-11,2.8.1,危局强袭 2.8.1,0.49,21511,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-02,2.8.2,危局强袭 2.8.2,6.14,19786,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-15,2.8.3,危局强袭 2.8.3,14.69,27174,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-21,3.0.1,危局强袭 3.0.1,6.53,25807,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,anby-demara,Anby Demara,安比·德玛拉,Support,辅助,support,辅助,T3,6,,,,Electric,电,Stun,击破,Cunning Hares,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/anby-demara.webp,https://www.prydwen.gg/zenless/tier-list,2026-02-17,2.6.1,式舆防卫 2.6.1,0.07,0,ok
