snapshot_id,collect_date,mode,mode_cn,sub_mode,sub_mode_cn,phase_ver,phase_name,start_date,end_date,character_slug,character_name_en,character_name_cn,role,rarity,app_rate,avg_score,sample,sample_players,cons_avg,char_level,w_engine_level,core_skill,source_kind,source_file,source_url,quality_flag
2.7.1,2026-03-31,da,危局强袭,1-1,首领 1,2.7.1,危局强袭 2.7.1,2026-03-27,2026-04-10,anby-demara,Anby Demara,安比·德玛拉,辅助,A,0.01,0,6,1,5.54,60.0,60.0,7.0,hf_builds,2.7.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.1/builds.json,ok
2.7.2,2026-04-21,da,危局强袭,1-1,首领 1,2.7.2,危局强袭 2.7.2,2026-04-10,2026-04-24,anby-demara,Anby Demara,安比·德玛拉,辅助,A,0.03,0,10,3,5.69,60.0,60.0,7.0,hf_builds,2.7.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.2/builds.json,ok
2.8.1,2026-05-11,da,危局强袭,1-1,首领 1,2.8.1,危局强袭 2.8.1,2026-05-08,2026-05-22,anby-demara,Anby Demara,安比·德玛拉,辅助,A,0.0,0,9,2,6.0,60.0,60.0,7.0,hf_builds,2.8.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.1/builds.json,ok
2.8.2,2026-06-02,da,危局强袭,1-1,首领 1,2.8.2,危局强袭 2.8.2,2026-05-22,2026-06-05,anby-demara,Anby Demara,安比·德玛拉,辅助,A,0.01,0,18,0,5.6,0.0,0.0,0.0,hf_builds,2.8.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.2/builds.json,ok
2.8.3,2026-06-15,da,危局强袭,1-1,首领 1,2.8.3,危局强袭 2.8.3,2026-06-05,2026-06-19,anby-demara,Anby Demara,安比·德玛拉,辅助,A,0.0,0,15,1,6.0,60.0,60.0,7.0,hf_builds,2.8.3/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.3/builds.json,ok
3.0.1,2026-06-21,da,危局强袭,1-1,首领 1,3.0.1,危局强袭 3.0.1,2026-06-19,2026-07-03,anby-demara,Anby Demara,安比·德玛拉,辅助,A,0.0,0,6,1,6.0,60.0,60.0,7.0,hf_builds,3.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/3.0.1/builds.json,ok
2.6.1,2026-02-17,da,危局强袭,1-1,首领 1,2.6.1,危局强袭 2.6.1,2026-02-13,2026-02-27,anby-demara-soldier-0,Soldier 0 - Anby,零号·安比,直伤主C,S,1.49,21803,608,307,0.31,59.99,59.73,7.0,hf_builds,2.6.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/builds.json,ok
2.6.2,2026-03-10,da,危局强袭,1-1,首领 1,2.6.2,危局强袭 2.6.2,2026-02-27,2026-03-13,anby-demara-soldier-0,Soldier 0 - Anby,零号·安比,直伤主C,S,0.3,21153,4765,2245,0.35,59.99,59.86,7.0,hf_builds,2.6.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.2/builds.json,ok
2.7.1,2026-03-31,da,危局强袭,1-1,首领 1,2.7.1,危局强袭 2.7.1,2026-03-27,2026-04-10,anby-demara-soldier-0,Soldier 0 - Anby,零号·安比,直伤主C,S,1.28,20659,442,433,1.03,60.0,59.93,7.0,hf_builds,2.7.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.1/builds.json,ok
2.7.2,2026-04-21,da,危局强袭,1-1,首领 1,2.7.2,危局强袭 2.7.2,2026-04-10,2026-04-24,anby-demara-soldier-0,Soldier 0 - Anby,零号·安比,直伤主C,S,0.26,21173,4988,2142,0.35,60.0,59.72,7.0,hf_builds,2.7.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.2/builds.json,ok
2.8.1,2026-05-11,da,危局强袭,1-1,首领 1,2.8.1,危局强袭 2.8.1,2026-05-08,2026-05-22,anby-demara-soldier-0,Soldier 0 - Anby,零号·安比,直伤主C,S,0.1,0,2282,1479,0.38,59.99,59.74,7.0,hf_builds,2.8.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.1/builds.json,ok
2.8.2,2026-06-02,da,危局强袭,1-1,首领 1,2.8.2,危局强袭 2.8.2,2026-05-22,2026-06-05,anby-demara-soldier-0,Soldier 0 - Anby,零号·安比,直伤主C,S,0.21,12982,251,84,0.4,60.0,59.88,7.0,hf_builds,2.8.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.2/builds.json,ok
2.8.3,2026-06-15,da,危局强袭,1-1,首领 1,2.8.3,危局强袭 2.8.3,2026-06-05,2026-06-19,anby-demara-soldier-0,Soldier 0 - Anby,零号·安比,直伤主C,S,0.02,0,3496,897,0.43,60.0,59.67,7.0,hf_builds,2.8.3/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.3/builds.json,ok
3.0.1,2026-06-21,da,危局强袭,1-1,首领 1,3.0.1,危局强袭 3.0.1,2026-06-19,2026-07-03,anby-demara-soldier-0,Soldier 0 - Anby,零号·安比,直伤主C,S,0.52,22172,181,195,0.74,60.0,59.8,7.0,hf_builds,3.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/3.0.1/builds.json,ok
2.6.1,2026-02-17,da,危局强袭,1-1,首领 1,2.6.1,危局强袭 2.6.1,2026-02-13,2026-02-27,anton,Anton Ivanov,安东·伊万诺夫,直伤主C,A,0.0,0,0,0,6.0,60.0,60.0,7.0,hf_builds,2.6.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/builds.json,ok
2.6.2,2026-03-10,da,危局强袭,1-1,首领 1,2.6.2,危局强袭 2.6.2,2026-02-27,2026-03-13,anton,Anton Ivanov,安东·伊万诺夫,直伤主C,A,0.01,0,15,11,6.0,60.0,60.0,7.0,hf_builds,2.6.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.2/builds.json,ok
2.7.1,2026-03-31,da,危局强袭,1-1,首领 1,2.7.1,危局强袭 2.7.1,2026-03-27,2026-04-10,anton,Anton Ivanov,安东·伊万诺夫,直伤主C,A,0.0,0,1,2,0.0,0.0,0.0,0.0,hf_builds,2.7.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.1/builds.json,ok
2.7.2,2026-04-21,da,危局强袭,1-1,首领 1,2.7.2,危局强袭 2.7.2,2026-04-10,2026-04-24,anton,Anton Ivanov,安东·伊万诺夫,直伤主C,A,0.01,0,6,2,6.0,60.0,60.0,7.0,hf_builds,2.7.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.2/builds.json,ok
2.8.1,2026-05-11,da,危局强袭,1-1,首领 1,2.8.1,危局强袭 2.8.1,2026-05-08,2026-05-22,anton,Anton Ivanov,安东·伊万诺夫,直伤主C,A,0.01,0,16,12,6.0,60.0,60.0,6.94,hf_builds,2.8.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.1/builds.json,ok
