team_signature,team_slugs,team_cn,confidence,record_count,snapshot_count,phase_count,mode_count,scope_count,boss_count,source_kind_count,max_app_rate,median_app_rate,best_rank,best_score,non_sentinel_score_count,sentinel_score_count,modes,phase_versions,scopes,source_kinds,evidence_comment,risk_comment
alice|dialyn|jane-doe,"alice, dialyn, jane-doe",爱丽丝·泰姆菲尔德 / 琉音 / 简·杜,B-,1,1,1,1,1,1,1,0.01,0.01,197,10662,1,0,da,da:2.8.2,1-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
alice|grace-howard|sunna,"alice, grace-howard, sunna",爱丽丝·泰姆菲尔德 / 格莉丝·霍华德 / 千夏,B-,1,1,1,1,1,1,1,0.01,0.01,124,25618,1,0,sd,sd:2.6.1,5-1_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
alice|jane-doe|nicole-demara,"alice, jane-doe, nicole-demara",爱丽丝·泰姆菲尔德 / 简·杜 / 妮可·德玛拉,B-,1,1,1,1,1,1,1,0.01,0.01,108,26852,1,0,da,da:2.6.1,1-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
alice|ju-fufu|ukinami-yuzuha,"alice, ju-fufu, ukinami-yuzuha",爱丽丝·泰姆菲尔德 / 橘福福 / 浮波柚叶,B-,1,1,1,1,1,1,1,0.01,0.01,214,21559,1,0,sd,sd:2.8.2,5-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
alice|lucy|nangong-yu,"alice, lucy, nangong-yu",爱丽丝·泰姆菲尔德 / 露西亚娜·德·蒙特夫 / 南宫羽,B-,1,1,1,1,1,1,1,0.01,0.01,155,29235,1,0,sd,sd:2.7.3,5-1_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
alice|lucy|nicole-demara,"alice, lucy, nicole-demara",爱丽丝·泰姆菲尔德 / 露西亚娜·德·蒙特夫 / 妮可·德玛拉,B-,1,1,1,1,1,1,1,0.01,0.01,124,27252,1,0,sd,sd:2.6.1,5-1_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
alice|lucy|ukinami-yuzuha,"alice, lucy, ukinami-yuzuha",爱丽丝·泰姆菲尔德 / 露西亚娜·德·蒙特夫 / 浮波柚叶,B-,1,1,1,1,1,1,1,0.01,0.01,161,26703,1,0,sd,sd:2.8.2,5-1_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
alice|lucy|vivian,"alice, lucy, vivian",爱丽丝·泰姆菲尔德 / 露西亚娜·德·蒙特夫 / 薇薇安·班希,B-,1,1,1,1,1,1,1,0.01,0.01,161,22558,1,0,sd,sd:2.8.2,5-1_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
alice|lucy|yanagi,"alice, lucy, yanagi",爱丽丝·泰姆菲尔德 / 露西亚娜·德·蒙特夫 / 月城 柳,B-,1,1,1,1,1,1,1,0.01,0.01,214,20887,1,0,sd,sd:2.8.2,5-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
alice|pulchra|ukinami-yuzuha,"alice, pulchra, ukinami-yuzuha",爱丽丝·泰姆菲尔德 / 波可娜·费雷尼 / 浮波柚叶,B-,1,1,1,1,1,1,1,0.01,0.01,160,28151,1,0,sd,sd:2.8.3,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
