team_signature,team_slugs,team_cn,confidence,record_count,snapshot_count,phase_count,mode_count,scope_count,boss_count,source_kind_count,max_app_rate,median_app_rate,best_rank,best_score,non_sentinel_score_count,sentinel_score_count,modes,phase_versions,scopes,source_kinds,evidence_comment,risk_comment
sunna|ye-shunguang|zhao,"sunna, ye-shunguang, zhao",千夏 / 叶瞬光 / 照,A,60,8,15,2,7,6,1,38.95,12.685,1,42665,60,0,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=60；phase_count=15；mode_count=2；boss_count=6；max_app_rate=38.95；median_app_rate=12.685,无
dialyn|ye-shunguang|zhao,"dialyn, ye-shunguang, zhao",琉音 / 叶瞬光 / 照,A,60,8,15,2,7,6,1,36.07,9.075,1,37403,58,2,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=60；phase_count=15；mode_count=2；boss_count=6；max_app_rate=36.07；median_app_rate=9.075,包含 2 条 sentinel/missing 分数
aria|nangong-yu|sunna,"aria, nangong-yu, sunna",爱芮 / 南宫羽 / 千夏,A,40,6,11,2,7,6,1,35.83,3.12,1,35584,38,2,"da, sd","da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=40；phase_count=11；mode_count=2；boss_count=6；max_app_rate=35.83；median_app_rate=3.12,包含 2 条 sentinel/missing 分数
miyabi|nangong-yu|ukinami-yuzuha,"miyabi, nangong-yu, ukinami-yuzuha",星见 雅 / 南宫羽 / 浮波柚叶,A,43,6,11,2,7,6,1,31.46,5.07,1,39196,43,0,"da, sd","da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=43；phase_count=11；mode_count=2；boss_count=6；max_app_rate=31.46；median_app_rate=5.07,无
dialyn|lucia|yixuan,"dialyn, lucia, yixuan",琉音 / 卢西娅 / 仪玄,A,60,8,15,2,7,6,1,29.38,8.23,1,36656,60,0,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=60；phase_count=15；mode_count=2；boss_count=6；max_app_rate=29.38；median_app_rate=8.23,无
miyabi|ukinami-yuzuha|vivian,"miyabi, ukinami-yuzuha, vivian",星见 雅 / 浮波柚叶 / 薇薇安·班希,A,54,8,15,2,7,6,1,28.06,2.62,1,33068,51,3,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=54；phase_count=15；mode_count=2；boss_count=6；max_app_rate=28.06；median_app_rate=2.62,包含 3 条 sentinel/missing 分数
ju-fufu|lucia|yixuan,"ju-fufu, lucia, yixuan",橘福福 / 卢西娅 / 仪玄,A,60,8,15,2,7,6,1,27.83,8.025,1,33334,59,1,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=60；phase_count=15；mode_count=2；boss_count=6；max_app_rate=27.83；median_app_rate=8.025,包含 1 条 sentinel/missing 分数
promeia|ukinami-yuzuha|vivian,"promeia, ukinami-yuzuha, vivian",普罗米娅 / 浮波柚叶 / 薇薇安·班希,A,23,4,7,2,7,6,1,13.25,1.97,3,35998,22,1,"da, sd","da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=23；phase_count=7；mode_count=2；boss_count=6；max_app_rate=13.25；median_app_rate=1.97,包含 1 条 sentinel/missing 分数
nangong-yu|promeia|ukinami-yuzuha,"nangong-yu, promeia, ukinami-yuzuha",南宫羽 / 普罗米娅 / 浮波柚叶,A,20,4,7,2,7,6,1,11.75,3.42,2,37597,20,0,"da, sd","da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=20；phase_count=7；mode_count=2；boss_count=6；max_app_rate=11.75；median_app_rate=3.42,无
miyabi|ukinami-yuzuha|yanagi,"miyabi, ukinami-yuzuha, yanagi",星见 雅 / 浮波柚叶 / 月城 柳,A,51,8,15,2,7,6,1,10.39,1.13,2,36918,49,2,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=51；phase_count=15；mode_count=2；boss_count=6；max_app_rate=10.39；median_app_rate=1.13,包含 2 条 sentinel/missing 分数
aria|sunna|ukinami-yuzuha,"aria, sunna, ukinami-yuzuha",爱芮 / 千夏 / 浮波柚叶,B+,34,7,13,2,7,6,1,20.86,0.395,1,34527,34,0,"da, sd","da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=34；phase_count=13；mode_count=2；boss_count=6；max_app_rate=20.86；median_app_rate=0.395,重复度较好，但未达到 A 档广度/强度
anby-demara-soldier-0|orphie-and-magus|trigger,"anby-demara-soldier-0, orphie-and-magus, trigger",零号·安比 / 奥菲丝·马格努森 & 「鬼火」 / 「扳机」,B+,59,8,15,2,7,6,1,12.5,0.53,1,36773,57,2,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=59；phase_count=15；mode_count=2；boss_count=6；max_app_rate=12.5；median_app_rate=0.53,包含 2 条 sentinel/missing 分数
miyabi|soukaku|ukinami-yuzuha,"miyabi, soukaku, ukinami-yuzuha",星见 雅 / 苍角 / 浮波柚叶,B+,48,8,15,2,7,6,1,11.58,0.73,2,35750,44,4,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=48；phase_count=15；mode_count=2；boss_count=6；max_app_rate=11.58；median_app_rate=0.73,包含 4 条 sentinel/missing 分数
dialyn|sunna|ye-shunguang,"dialyn, sunna, ye-shunguang",琉音 / 千夏 / 叶瞬光,B+,57,8,15,2,7,6,1,9.91,3.73,3,38238,57,0,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=57；phase_count=15；mode_count=2；boss_count=6；max_app_rate=9.91；median_app_rate=3.73,重复度较好，但未达到 A 档广度/强度
billy-starlight|dialyn|lucia,"billy-starlight, dialyn, lucia",星徽·比利 / 琉音 / 卢西娅,B+,17,3,5,2,7,6,1,9.82,4.48,3,35090,17,0,"da, sd","da:2.8.2, da:2.8.3, da:3.0.1, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=17；phase_count=5；mode_count=2；boss_count=6；max_app_rate=9.82；median_app_rate=4.48,重复度较好，但未达到 A 档广度/强度
astra-yao|ye-shunguang|zhao,"astra-yao, ye-shunguang, zhao",耀嘉音 / 叶瞬光 / 照,B+,59,8,15,2,7,6,1,9.42,3.31,3,37834,57,2,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=59；phase_count=15；mode_count=2；boss_count=6；max_app_rate=9.42；median_app_rate=3.31,包含 2 条 sentinel/missing 分数
alice|ukinami-yuzuha|vivian,"alice, ukinami-yuzuha, vivian",爱丽丝·泰姆菲尔德 / 浮波柚叶 / 薇薇安·班希,B+,54,8,15,2,7,6,1,8.04,0.925,3,33188,53,1,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=54；phase_count=15；mode_count=2；boss_count=6；max_app_rate=8.04；median_app_rate=0.925,包含 1 条 sentinel/missing 分数
astra-yao|cissia|seed,"astra-yao, cissia, seed",耀嘉音 / 希希芙 / 「席德」,B+,32,5,9,2,7,6,1,7.94,0.51,3,36279,30,2,"da, sd","da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=32；phase_count=9；mode_count=2；boss_count=6；max_app_rate=7.94；median_app_rate=0.51,包含 2 条 sentinel/missing 分数
astra-yao|evelyn|lighter,"astra-yao, evelyn, lighter",耀嘉音 / 伊芙琳·舒瓦利耶 / 莱特,B+,53,8,15,2,7,6,1,7.12,0.34,3,32021,50,3,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=53；phase_count=15；mode_count=2；boss_count=6；max_app_rate=7.12；median_app_rate=0.34,包含 3 条 sentinel/missing 分数
astra-yao|miyabi|nangong-yu,"astra-yao, miyabi, nangong-yu",耀嘉音 / 星见 雅 / 南宫羽,B+,39,6,11,2,7,6,1,6.37,0.71,3,35333,37,2,"da, sd","da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=39；phase_count=11；mode_count=2；boss_count=6；max_app_rate=6.37；median_app_rate=0.71,包含 2 条 sentinel/missing 分数
burnice|miyabi|ukinami-yuzuha,"burnice, miyabi, ukinami-yuzuha",柏妮思·怀特 / 星见 雅 / 浮波柚叶,B+,48,8,15,2,7,6,1,6.35,0.8,4,33725,48,0,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=48；phase_count=15；mode_count=2；boss_count=6；max_app_rate=6.35；median_app_rate=0.8,重复度较好，但未达到 A 档广度/强度
anby-demara-soldier-0|astra-yao|trigger,"anby-demara-soldier-0, astra-yao, trigger",零号·安比 / 耀嘉音 / 「扳机」,B+,47,8,15,2,7,6,1,6.17,0.32,3,33739,43,4,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=47；phase_count=15；mode_count=2；boss_count=6；max_app_rate=6.17；median_app_rate=0.32,包含 4 条 sentinel/missing 分数
lucia|pan-yinhu|yixuan,"lucia, pan-yinhu, yixuan",卢西娅 / 潘引壶 / 仪玄,B+,56,8,15,2,7,6,1,5.85,1.505,3,31962,54,2,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=56；phase_count=15；mode_count=2；boss_count=6；max_app_rate=5.85；median_app_rate=1.505,包含 2 条 sentinel/missing 分数
aria|nangong-yu|ukinami-yuzuha,"aria, nangong-yu, ukinami-yuzuha",爱芮 / 南宫羽 / 浮波柚叶,B+,31,6,11,2,7,6,1,5.66,1.37,2,36166,31,0,"da, sd","da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=31；phase_count=11；mode_count=2；boss_count=6；max_app_rate=5.66；median_app_rate=1.37,重复度较好，但未达到 A 档广度/强度
astra-yao|miyabi|vivian,"astra-yao, miyabi, vivian",耀嘉音 / 星见 雅 / 薇薇安·班希,B+,50,8,15,2,7,6,1,5.27,0.75,4,32817,43,7,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=50；phase_count=15；mode_count=2；boss_count=6；max_app_rate=5.27；median_app_rate=0.75,包含 7 条 sentinel/missing 分数
alice|nangong-yu|ukinami-yuzuha,"alice, nangong-yu, ukinami-yuzuha",爱丽丝·泰姆菲尔德 / 南宫羽 / 浮波柚叶,B+,36,6,11,2,7,6,1,5.27,0.485,3,35971,35,1,"da, sd","da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=36；phase_count=11；mode_count=2；boss_count=6；max_app_rate=5.27；median_app_rate=0.485,包含 1 条 sentinel/missing 分数
promeia|ukinami-yuzuha|velina,"promeia, ukinami-yuzuha, velina",普罗米娅 / 浮波柚叶 / 维琳娜·艾嘉德,B,6,1,2,2,5,4,1,16.86,3.715,1,35702,6,0,"da, sd","da:3.0.1, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 5-1_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=6；phase_count=2；mode_count=2；boss_count=4；max_app_rate=16.86；median_app_rate=3.715,有重复记录，可作普通证据
jane-doe|ukinami-yuzuha|velina,"jane-doe, ukinami-yuzuha, velina",简·杜 / 浮波柚叶 / 维琳娜·艾嘉德,B,6,1,2,2,5,4,1,11.46,1.355,2,31149,6,0,"da, sd","da:3.0.1, sd:2.8.3","1-1_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=6；phase_count=2；mode_count=2；boss_count=4；max_app_rate=11.46；median_app_rate=1.355,有重复记录，可作普通证据
aria|ukinami-yuzuha|velina,"aria, ukinami-yuzuha, velina",爱芮 / 浮波柚叶 / 维琳娜·艾嘉德,B,7,1,2,2,6,5,1,7.76,0.36,3,34528,7,0,"da, sd","da:3.0.1, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=7；phase_count=2；mode_count=2；boss_count=5；max_app_rate=7.76；median_app_rate=0.36,有重复记录，可作普通证据
alice|ukinami-yuzuha|velina,"alice, ukinami-yuzuha, velina",爱丽丝·泰姆菲尔德 / 浮波柚叶 / 维琳娜·艾嘉德,B,6,1,2,2,5,4,1,5.46,0.405,5,30373,6,0,"da, sd","da:3.0.1, sd:2.8.3","1-1_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=6；phase_count=2；mode_count=2；boss_count=4；max_app_rate=5.46；median_app_rate=0.405,有重复记录，可作普通证据
burnice|ukinami-yuzuha|velina,"burnice, ukinami-yuzuha, velina",柏妮思·怀特 / 浮波柚叶 / 维琳娜·艾嘉德,B,6,1,2,2,5,4,1,5.14,0.765,6,36511,6,0,"da, sd","da:3.0.1, sd:2.8.3","1-1_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=6；phase_count=2；mode_count=2；boss_count=4；max_app_rate=5.14；median_app_rate=0.765,有重复记录，可作普通证据
astra-yao|miyabi|yanagi,"astra-yao, miyabi, yanagi",耀嘉音 / 星见 雅 / 月城 柳,B,50,8,15,2,7,6,1,4.83,0.73,4,34808,45,5,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=50；phase_count=15；mode_count=2；boss_count=6；max_app_rate=4.83；median_app_rate=0.73,包含 5 条 sentinel/missing 分数
lucia|lycaon|yidhari,"lucia, lycaon, yidhari",卢西娅 / 冯·莱卡恩 / 伊德海莉·墨菲,B,46,8,15,2,7,6,1,4.78,0.52,3,31725,44,2,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=46；phase_count=15；mode_count=2；boss_count=6；max_app_rate=4.78；median_app_rate=0.52,包含 2 条 sentinel/missing 分数
anby-demara-soldier-0|seed|trigger,"anby-demara-soldier-0, seed, trigger",零号·安比 / 「席德」 / 「扳机」,B,37,8,14,2,7,6,1,4.78,0.15,5,33705,36,1,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=37；phase_count=14；mode_count=2；boss_count=6；max_app_rate=4.78；median_app_rate=0.15,包含 1 条 sentinel/missing 分数
ukinami-yuzuha|vivian|yanagi,"ukinami-yuzuha, vivian, yanagi",浮波柚叶 / 薇薇安·班希 / 月城 柳,B,47,8,15,2,7,6,1,4.61,0.17,4,34470,42,5,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=47；phase_count=15；mode_count=2；boss_count=6；max_app_rate=4.61；median_app_rate=0.17,包含 5 条 sentinel/missing 分数
nangong-yu|ukinami-yuzuha|yanagi,"nangong-yu, ukinami-yuzuha, yanagi",南宫羽 / 浮波柚叶 / 月城 柳,B,29,6,11,2,7,6,1,4.12,0.27,5,33586,28,1,"da, sd","da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=29；phase_count=11；mode_count=2；boss_count=6；max_app_rate=4.12；median_app_rate=0.27,包含 1 条 sentinel/missing 分数
ju-fufu|pan-yinhu|yixuan,"ju-fufu, pan-yinhu, yixuan",橘福福 / 潘引壶 / 仪玄,B,54,8,15,2,7,6,1,3.88,0.515,4,30382,52,2,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=54；phase_count=15；mode_count=2；boss_count=6；max_app_rate=3.88；median_app_rate=0.515,包含 2 条 sentinel/missing 分数
astra-yao|dialyn|evelyn,"astra-yao, dialyn, evelyn",耀嘉音 / 琉音 / 伊芙琳·舒瓦利耶,B,52,8,15,2,7,6,1,3.85,0.365,5,32716,50,2,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=52；phase_count=15；mode_count=2；boss_count=6；max_app_rate=3.85；median_app_rate=0.365,包含 2 条 sentinel/missing 分数
jane-doe|ukinami-yuzuha|vivian,"jane-doe, ukinami-yuzuha, vivian",简·杜 / 浮波柚叶 / 薇薇安·班希,B,52,8,15,2,7,6,1,3.82,0.495,7,32599,43,9,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=52；phase_count=15；mode_count=2；boss_count=6；max_app_rate=3.82；median_app_rate=0.495,包含 9 条 sentinel/missing 分数
orphie-and-magus|seed|trigger,"orphie-and-magus, seed, trigger",奥菲丝·马格努森 & 「鬼火」 / 「席德」 / 「扳机」,B,52,8,15,2,7,6,1,3.51,0.165,7,36289,48,4,"da, sd","da:2.6.1, da:2.6.2, da:2.7.1, da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.6.1, sd:2.6.3, sd:2.6.4, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=52；phase_count=15；mode_count=2；boss_count=6；max_app_rate=3.51；median_app_rate=0.165,包含 4 条 sentinel/missing 分数
cissia|seed|trigger,"cissia, seed, trigger",希希芙 / 「席德」 / 「扳机」,B,28,5,9,2,7,6,1,3.24,0.47,7,35836,27,1,"da, sd","da:2.7.2, da:2.8.1, da:2.8.2, da:2.8.3, da:3.0.1, sd:2.7.2, sd:2.7.3, sd:2.8.2, sd:2.8.3","1-1_combined.json, 1-2_combined.json, 1-3_combined.json, 5-1_combined.json, 5-2_combined.json, 5-3_combined.json, top_combined.json",hf_comps,record_count=28；phase_count=9；mode_count=2；boss_count=6；max_app_rate=3.24；median_app_rate=0.47,包含 1 条 sentinel/missing 分数
