tier_snapshot_id,fetched_at,tier_updated_at,tier_updated_date,tier_mode,tier_mode_cn,character_slug,character_name_en,character_name_cn,prydwen_category,prydwen_role,role_group,role_group_cn,tier,rating,tags,marks,is_new,element,element_cn,style,style_cn,faction,rarity,icon_url,source_url
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,alice,Alice Thymefield,爱丽丝·泰姆菲尔德,AnoDPS,异常主C,anomaly_dps,异常主C,T0.5,10,Watchlist [DOWN],watch,,Physical,物理,Anomaly,异常,Spook Shack,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/alice.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,anby-demara,Anby Demara,安比·德玛拉,Support,辅助,support,辅助,T3,6,,,,Electric,电,Stun,击破,Cunning Hares,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/anby-demara.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,anby-demara,Anby Demara,安比·德玛拉,Support,辅助,support,辅助,T3,6,,,,Electric,电,Stun,击破,Cunning Hares,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/anby-demara.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,anby-demara-soldier-0,Soldier 0 - Anby,零号·安比,CritDPS,直伤主C,crit_dps,直伤主C,T1,9,,down,,Electric,电,Attack,强攻,Unknown Faction,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/anby-demara-soldier-0.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,anby-demara-soldier-0,Soldier 0 - Anby,零号·安比,CritDPS,直伤主C,crit_dps,直伤主C,T1,9,,down,,Electric,电,Attack,强攻,Unknown Faction,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/anby-demara-soldier-0.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,anton,Anton Ivanov,安东·伊万诺夫,CritDPS,直伤主C,crit_dps,直伤主C,T3,6,,down,,Electric,电,Attack,强攻,Belobog Heavy Industries,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/anton.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,anton,Anton Ivanov,安东·伊万诺夫,CritDPS,直伤主C,crit_dps,直伤主C,T3,6,,down,,Electric,电,Attack,强攻,Belobog Heavy Industries,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/anton.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,aria,Aria,爱芮,AnoDPS,异常主C,anomaly_dps,异常主C,T0,11,,,,Ether,以太,Anomaly,异常,Angels of Delusion,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/aria.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,aria,Aria,爱芮,AnoDPS,异常主C,anomaly_dps,异常主C,T0,11,,,,Ether,以太,Anomaly,异常,Angels of Delusion,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/aria.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,astra-yao,Astra Yao,耀嘉音,Support,辅助,support,辅助,T0.5,10,,down,,Ether,以太,Support,支援,Stars of Lyra,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/astra-yao.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,astra-yao,Astra Yao,耀嘉音,Support,辅助,support,辅助,T0.5,10,,down,,Ether,以太,Support,支援,Stars of Lyra,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/astra-yao.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,banyue,Banyue,般岳,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,Expert,,,Fire,火,Rupture,命破,Krampus Compliance Authority,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/banyue.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,banyue,Banyue,般岳,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,Expert,,,Fire,火,Rupture,命破,Krampus Compliance Authority,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/banyue.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,ben,Ben Bigger,本·比格,CritDPS,直伤主C,crit_dps,直伤主C,T3,6,,,,Fire,火,Defence,防护,Belobog Heavy Industries,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/ben.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,ben,Ben Bigger,本·比格,CritDPS,直伤主C,crit_dps,直伤主C,T3,6,,,,Fire,火,Defence,防护,Belobog Heavy Industries,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/ben.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,billy-kid,Billy Kid,比利·奇德,CritDPS,直伤主C,crit_dps,直伤主C,T2,7,,,,Physical,物理,Attack,强攻,Cunning Hares,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/billy-kid.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,billy-kid,Billy Kid,比利·奇德,CritDPS,直伤主C,crit_dps,直伤主C,T2,7,,,,Physical,物理,Attack,强攻,Cunning Hares,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/billy-kid.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,billy-starlight,Starlight - Billy,星徽·比利,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,,,,Physical,物理,Rupture,命破,Cunning Hares,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/billy-starlight.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,billy-starlight,Starlight - Billy,星徽·比利,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,,,,Physical,物理,Rupture,命破,Cunning Hares,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/billy-starlight.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,burnice,Burnice White,柏妮思·怀特,AnoDPS,异常主C,anomaly_dps,异常主C,T1,9,,,,Fire,火,Anomaly,异常,Sons of Calydon,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/burnice.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,burnice,Burnice White,柏妮思·怀特,AnoDPS,异常主C,anomaly_dps,异常主C,T1,9,,,,Fire,火,Anomaly,异常,Sons of Calydon,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/burnice.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,caesar,Caesar King,凯撒·金,Support,辅助,support,辅助,T2,7,,,,Physical,物理,Defence,防护,Sons of Calydon,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/caesar.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,caesar,Caesar King,凯撒·金,Support,辅助,support,辅助,T2,7,,,,Physical,物理,Defence,防护,Sons of Calydon,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/caesar.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,cissia,Cissia,希希芙,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,Partner (Seed),,,Electric,电,Attack,强攻,Metropolitan Order Division,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/cissia.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,cissia,Cissia,希希芙,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,Partner (Seed),,,Electric,电,Attack,强攻,Metropolitan Order Division,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/cissia.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,corin,Corin Wickes,可琳·威克斯,CritDPS,直伤主C,crit_dps,直伤主C,T2,7,,,,Physical,物理,Attack,强攻,Victoria Housekeeping Co.,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/corin.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,corin,Corin Wickes,可琳·威克斯,CritDPS,直伤主C,crit_dps,直伤主C,T2,7,,,,Physical,物理,Attack,强攻,Victoria Housekeeping Co.,A,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/corin.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,dialyn,Dialyn,琉音,Support,辅助,support,辅助,T0,11,,,,Physical,物理,Stun,击破,Krampus Compliance Authority,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/dialyn.webp,https://www.prydwen.gg/zenless/tier-list
